,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
39,19,0.67,1.24,2,292206.61,Feeder_800,DEBRV,SEGOT,DKAAR,NOKRS,NOSVG,NOAES,DEBRV,,,,,
40,20,1.1,1.11,2,249360.67,Feeder_450,DEBRV,SEGOT,DKAAR,RUKGD,NOAES,DEBRV,,,,,,
41,20,1.1,1.11,1,158515.86,Feeder_800,DEBRV,NOKRS,NOSVG,NOBGO,DEBRV,,,,,,,
42,20,1.1,1.11,3,287883,Feeder_450,DEBRV,FIRAU,FIKTK,RULED,PLGDY,DEBRV,,,,,,
43,21,0.75,1.23,2,254404.5,Feeder_450,DEBRV,FIRAU,PLGDY,SEGOT,DEBRV,,,,,,,
44,21,0.75,1.23,2,259077.89,Feeder_800,DEBRV,RULED,FIKTK,RUKGD,DKAAR,DEBRV,,,,,,
45,22,1.28,0.89,2,288300.61,Feeder_800,DEBRV,SEGOT,NOKRS,NOSVG,NOBGO,NOAES,DEBRV,,,,,
46,23,0.98,0.92,2,192249.17,Feeder_450,DEBRV,PLGDY,RUKGD,DKAAR,DEBRV,,,,,,,
47,24,1.29,0.89,2,269643.83,Feeder_450,DEBRV,NOAES,NOBGO,NOSVG,NOKRS,PLGDY,DEBRV,,,,,
48,24,1.29,0.89,1,151114.71,Feeder_800,DEBRV,SEGOT,DKAAR,DEBRV,,,,,,,,
49,24,1.29,0.89,3,266773,Feeder_450,DEBRV,RUKGD,FIKTK,RULED,FIRAU,DEBRV,,,,,,
50,25,0.87,1.12,3,266773,Feeder_450,DEBRV,FIRAU,RULED,FIKTK,RUKGD,DEBRV,,,,,,
51,26,0.58,0.52,2,214283,Feeder_450,DEBRV,NOKRS,FIRAU,DEBRV,,,,,,,,
52,26,0.58,0.52,2,268029.07,Feeder_800,DEBRV,PLGDY,RUKGD,FIKTK,RULED,DEBRV,,,,,,
53,27,0.95,1.09,1,124573.67,Feeder_450,DEBRV,NOKRS,DKAAR,DEBRV,,,,,,,,
54,27,0.95,1.09,2,308766.07,Feeder_800,DEBRV,SEGOT,PLGDY,RUKGD,NOAES,DEBRV,,,,,,
55,27,0.95,1.09,1,105967,Feeder_450,DEBRV,NOBGO,NOSVG,DEBRV,,,,,,,,
56,29,1.06,1.1,2,298870.61,Feeder_800,DEBRV,PLGDY,RUKGD,DKAAR,SEGOT,NOKRS,DEBRV,,,,,
57,31,0.73,1.13,3,339840.14,Feeder_800,DEBRV,FIRAU,RULED,FIKTK,RUKGD,DEBRV,,,,,,
58,31,0.73,1.13,2,185047.17,Feeder_450,DEBRV,DKAAR,PLGDY,DEBRV,,,,,,,,
59,32,0.65,0.6,1,79572,Feeder_450,DEBRV,NOSVG,DEBRV,,,,,,,,,
60,32,0.65,0.6,2,254601.11,Feeder_800,DEBRV,SEGOT,RUKGD,PLGDY,DEBRV,,,,,,,
61,32,0.65,0.6,2,229288.33,Feeder_450,DEBRV,DKAAR,NOKRS,NOBGO,NOAES,DEBRV,,,,,,
62,33,0.73,0.75,1,105967,Feeder_450,DEBRV,NOSVG,NOBGO,DEBRV,,,,,,,,
63,33,0.73,0.75,2,251881.43,Feeder_800,DEBRV,NOKRS,PLGDY,RUKGD,DEBRV,,,,,,,
64,33,0.73,0.75,1,116464.67,Feeder_450,DEBRV,NOAES,DEBRV,,,,,,,,,
65,34,1.31,1.22,2,280819.57,Feeder_800,DEBRV,FIRAU,RULED,RUKGD,DEBRV,,,,,,,
66,34,1.31,1.22,2,167346,Feeder_450,DEBRV,DKAAR,NOBGO,DEBRV,,,,,,,,
67,34,1.31,1.22,1,168426.71,Feeder_800,DEBRV,NOSVG,NOKRS,SEGOT,DEBRV,,,,,,,
68,34,1.31,1.22,2,203194.83,Feeder_450,DEBRV,PLGDY,FIKTK,DEBRV,,,,,,,,
69,35,1.27,1.08,2,204190,Feeder_450,DEBRV,PLGDY,RUKGD,NOKRS,DEBRV,,,,,,,
70,35,1.27,1.08,2,262174.43,Feeder_800,DEBRV,SEGOT,NOSVG,NOBGO,NOAES,DEBRV,,,,,,
71,36,1.34,1.37,2,184404.17,Feeder_450,DEBRV,NOBGO,NOSVG,NOAES,DEBRV,,,,,,,
72,36,1.34,1.37,1,156558.29,Feeder_800,DEBRV,NOKRS,SEGOT,DEBRV,,,,,,,,
73,36,1.34,1.37,2,205945.5,Feeder_450,DEBRV,DKAAR,FIRAU,DEBRV,,,,,,,,
74,37,1.45,0.93,1,107751.33,Feeder_450,DEBRV,NOKRS,NOSVG,DEBRV,,,,,,,,
75,38,1.46,1.14,2,222642.17,Feeder_450,DEBRV,PLGDY,RUKGD,DKAAR,SEGOT,DEBRV,,,,,,
76,38,1.46,1.14,1,131455.14,Feeder_800,DEBRV,NOSVG,NOKRS,DEBRV,,,,,,,,
77,39,0.87,0.84,1,131455.14,Feeder_800,DEBRV,NOKRS,NOSVG,DEBRV,,,,,,,,
78,42,0.77,0.9,2,179019.33,Feeder_450,DEBRV,NOSVG,NOKRS,SEGOT,DEBRV,,,,,,,
79,43,1.05,0.93,2,298870.61,Feeder_800,DEBRV,NOKRS,SEGOT,DKAAR,RUKGD,PLGDY,DEBRV,,,,,
80,44,0.99,0.62,2,176884.17,Feeder_450,DEBRV,NOSVG,NOBGO,NOAES,DEBRV,,,,,,,
81,44,0.99,0.62,1,96624.33,Feeder_450,DEBRV,NOKRS,DEBRV,,,,,,,,,
82,46,0.81,0.55,2,285951.18,Feeder_800,DEBRV,FIRAU,DKAAR,SEGOT,DEBRV,,,,,,,
83,47,0.64,0.69,2,272644.57,Feeder_800,DEBRV,FIRAU,FIKTK,RULED,DEBRV,,,,,,,
84,47,0.64,0.69,2,176167.33,Feeder_450,DEBRV,PLGDY,RUKGD,DEBRV,,,,,,,,
85,48,0.66,0.86,1,104869.67,Feeder_450,DEBRV,SEGOT,DEBRV,,,,,,,,,
86,48,0.66,0.86,3,382369.39,Feeder_800,DEBRV,FIRAU,RULED,FIKTK,RUKGD,PLGDY,DKAAR,DEBRV,,,,
87,50,1.21,0.95,1,102125,Feeder_450,DEBRV,NOBGO,DEBRV,,,,,,,,,
88,50,1.21,0.95,1,147940.18,Feeder_800,DEBRV,NOAES,NOSVG,DEBRV,,,,,,,,
89,50,1.21,0.95,3,328298.33,Feeder_450,DEBRV,RULED,FIRAU,PLGDY,RUKGD,FIKTK,DEBRV,,,,,
90,51,0.54,1,3,365157.14,Feeder_800,DEBRV,PLGDY,RUKGD,FIKTK,RULED,FIRAU,DEBRV,,,,,
91,51,0.54,1,1,132892.33,Feeder_450,DEBRV,SEGOT,NOKRS,DEBRV,,,,,,,,
92,51,0.54,1,1,120491.36,Feeder_800,DEBRV,DKAAR,DEBRV,,,,,,,,,
93,52,0.68,0.56,3,410653.96,Feeder_800,DEBRV,DKAAR,PLGDY,RUKGD,FIKTK,RULED,FIRAU,NOKRS,DEBRV,,,
94,53,1.39,1.09,3,296299.17,Feeder_450,DEBRV,FIRAU,RULED,FIKTK,PLGDY,RUKGD,DEBRV,,,,,
95,53,1.39,1.09,1,158642.82,Feeder_800,DEBRV,NOSVG,NOBGO,NOKRS,DEBRV,,,,,,,
96,54,0.83,0.59,3,393441.71,Feeder_800,DEBRV,NOKRS,PLGDY,RUKGD,FIKTK,RULED,FIRAU,DEBRV,,,,
97,55,0.6,0.76,4,406305,Feeder_450,DEBRV,NOAES,NOBGO,NOSVG,RUKGD,PLGDY,RULED,FIKTK,FIRAU,DEBRV,,
98,55,0.6,0.76,1,148775.93,Feeder_800,DEBRV,DKAAR,NOKRS,DEBRV,,,,,,,,
99,55,0.6,0.76,2,150910.33,Feeder_450,DEBRV,RUKGD,DEBRV,,,,,,,,,
100,56,1.34,1.03,3,382369.39,Feeder_800,DEBRV,DKAAR,PLGDY,RUKGD,FIKTK,RULED,FIRAU,DEBRV,,,,
101,57,0.51,0.67,4,455834.83,Feeder_450,DEBRV,NOAES,NOBGO,NOSVG,SEGOT,FIKTK,RULED,FIRAU,PLGDY,RUKGD,DKAAR,DEBRV
102,58,0.66,1.17,4,460059.83,Feeder_450,DEBRV,PLGDY,RUKGD,FIKTK,RULED,FIRAU,SEGOT,NOKRS,NOSVG,NOBGO,NOAES,DEBRV
103,59,0.56,0.61,3,355992,Feeder_450,DEBRV,NOKRS,FIRAU,PLGDY,RUKGD,RULED,FIKTK,DKAAR,DEBRV,,,
104,59,0.56,0.61,1,103001.29,Feeder_800,DEBRV,NOSVG,DEBRV,,,,,,,,,
105,60,1.47,1.38,4,460059.83,Feeder_450,DEBRV,NOAES,NOBGO,NOSVG,NOKRS,SEGOT,FIRAU,RULED,FIKTK,RUKGD,PLGDY,DEBRV
106,61,0.83,0.97,4,461234.83,Feeder_450,DEBRV,NOAES,NOBGO,NOSVG,FIRAU,RULED,FIKTK,RUKGD,PLGDY,SEGOT,NOKRS,DEBRV
107,62,0.78,1.09,3,339737.83,Feeder_450,DEBRV,NOKRS,PLGDY,RUKGD,FIKTK,RULED,FIRAU,DKAAR,DEBRV,,,
108,63,0.75,1.41,3,367310.83,Feeder_450,DEBRV,FIRAU,RULED,FIKTK,RUKGD,PLGDY,DKAAR,SEGOT,NOKRS,DEBRV,,
109,63,0.75,1.41,1,130062,Feeder_800,DEBRV,NOBGO,NOSVG,DEBRV,,,,,,,,
110,63,0.75,1.41,1,141023.36,Feeder_800,DEBRV,NOAES,DEBRV,,,,,,,,,
